day,start_node,end_node,percentile,mild_infected,total
1,1001,1002,25,0,805
1,1001,1002,50,0,805
1,1001,1002,75,0,805
1,1001,1003,25,0,62
1,1001,1003,50,0,62
1,1001,1003,75,0,62
1,1001,1004,25,0,183
1,1001,1004,50,0,183
1,1001,1004,75,0,183
1,1001,1051,25,0,63
1,1001,1051,50,0,63
1,1001,1051,75,0,63
1,1001,1053,25,0,8
1,1001,1053,50,0,8
1,1001,1053,75,0,8
1,1001,1054,25,0,873
1,1001,1054,50,0,873
1,1001,1054,75,0,873
1,1001,1055,25,0,33
1,1001,1055,50,0,33
1,1001,1055,75,0,33
1,1001,1056,25,0,47
1,1001,1056,50,0,47
1,1001,1056,75,0,47
1,1001,1057,25,0,56
1,1001,1057,50,0,56
1,1001,1057,75,0,56
1,1001,1058,25,0,569
1,1001,1058,50,0,569
1,1001,1058,75,0,569
1,1001,1059,25,0,6705
1,1001,1059,50,0,6705
1,1001,1059,75,0,6706
1,1001,1060,25,0,33
1,1001,1060,50,0,33
1,1001,1060,75,0,33
1,1001,1061,25,0,43
1,1001,1061,50,0,43
1,1001,1061,75,0,43
1,1001,1062,25,0,33
1,1001,1062,50,0,33
1,1001,1062,75,0,33
1,1001,2000,25,0,979
1,1001,2000,50,0,979
1,1001,2000,75,0,979
1,1001,3102,25,0,12
1,1001,3102,50,0,12
1,1001,3102,75,0,12
1,1001,3103,25,0,13
1,1001,3103,50,0,13
1,1001,3103,75,0,13
1,1001,3154,25,0,12
1,1001,3154,50,0,12
1,1001,3154,75,0,12
1,1001,3241,25,0,58
1,1001,3241,50,0,58
1,1001,3241,75,0,58
1,1001,3251,25,0,15
1,1001,3251,50,0,15
1,1001,3251,75,0,15
1,1001,3252,25,0,2
1,1001,3252,50,0,2
1,1001,3252,75,0,2
1,1001,3352,25,0,15
1,1001,3352,50,0,15
1,1001,3352,75,0,15
1,1001,3353,25,0,4
1,1001,3353,50,0,4
1,1001,3353,75,0,4
1,1001,3355,25,0,17
1,1001,3355,50,0,17
1,1001,3355,75,0,17
1,1001,3357,25,0,3
1,1001,3357,50,0,3
1,1001,3357,75,0,3
1,1001,3358,25,0,38
1,1001,3358,50,0,38
1,1001,3358,75,0,38
1,1001,3359,25,0,7
1,1001,3359,50,0,7
1,1001,3359,75,0,7
1,1001,3403,25,0,14
1,1001,3403,50,0,14
1,1001,3403,75,0,14
1,1001,3404,25,0,26
1,1001,3404,50,0,26
1,1001,3404,75,0,26
1,1001,3454,25,0,13
1,1001,3454,50,0,13
1,1001,3454,75,0,13
1,1001,3458,25,0,13
1,1001,3458,50,0,13
1,1001,3458,75,0,13
1,1001,3459,25,0,26
1,1001,3459,50,0,26
1,1001,3459,75,0,26
1,1001,3462,25,0,7
1,1001,3462,50,0,7
1,1001,3462,75,0,7
1,1001,4011,25,0,26
1,1001,4011,50,0,26
1,1001,4011,75,0,26
1,1001,5111,25,0,8
1,1001,5111,50,0,8
1,1001,5111,75,0,8
1,1001,5113,25,0,15
1,1001,5113,50,0,15
1,1001,5113,75,0,15
1,1001,5119,25,0,12
1,1001,5119,50,0,12
1,1001,5119,75,0,12
1,1001,5314,25,0,13
1,1001,5314,50,0,13
1,1001,5314,75,0,13
1,1001,5315,25,0,77
1,1001,5315,50,0,77
1,1001,5315,75,0,77
1,1001,5374,25,0,2
1,1001,5374,50,0,2
1,1001,5374,75,0,2
1,1001,5513,25,0,25
1,1001,5513,50,0,25
1,1001,5513,75,0,25
1,1001,5562,25,0,13
1,1001,5562,50,0,13
1,1001,5562,75,0,13
1,1001,5911,25,0,13
1,1001,5911,50,0,13
1,1001,5911,75,0,13
1,1001,5913,25,0,26
1,1001,5913,50,0,26
1,1001,5913,75,0,26
1,1001,5978,25,0,21
1,1001,5978,50,0,21
1,1001,5978,75,0,21
1,1001,6411,25,0,13
1,1001,6411,50,0,13
1,1001,6411,75,0,13
1,1001,6412,25,0,33
1,1001,6412,50,0,33
1,1001,6412,75,0,33
1,1001,6532,25,0,12
1,1001,6532,50,0,12
1,1001,6532,75,0,12
1,1001,6636,25,0,100
1,1001,6636,50,0,100
1,1001,6636,75,0,100
1,1001,8111,25,0,27
1,1001,8111,50,0,27
1,1001,8111,75,0,27
1,1001,8115,25,0,13
1,1001,8115,50,0,13
1,1001,8115,75,0,13
1,1001,8136,25,0,12
1,1001,8136,50,0,12
1,1001,8136,75,0,12
1,1001,8415,25,0,12
1,1001,8415,50,0,12
1,1001,8415,75,0,12
1,1001,9162,25,0,7
1,1001,9162,50,0,7
1,1001,9162,75,0,7
1,1001,9184,25,0,2
1,1001,9184,50,0,2
1,1001,9184,75,0,2
1,1001,9362,25,0,12
1,1001,9362,50,0,12
1,1001,9362,75,0,12
1,1001,9564,25,0,2
1,1001,9564,50,0,2
1,1001,9564,75,0,2
1,1001,10041,25,0,45
1,1001,10041,50,0,45
1,1001,10041,75,0,45
1,1001,10046,25,0,12
1,1001,10046,50,0,12
1,1001,10046,75,0,12
1,1001,11000,25,0,158
1,1001,11000,50,0,158
1,1001,11000,75,0,158
1,1001,12068,25,0,12
1,1001,12068,50,0,12
1,1001,12068,75,0,12
1,1001,12070,25,0,25
1,1001,12070,50,0,25
1,1001,12070,75,0,25
1,1001,13003,25,0,2
1,1001,13003,50,0,2
1,1001,13003,75,0,2
1,1001,13004,25,0,14
1,1001,13004,50,0,14
1,1001,13004,75,0,14
1,1001,13071,25,0,13
1,1001,13071,50,0,13
1,1001,13071,75,0,13
1,1001,13074,25,0,27
1,1001,13074,50,0,27
1,1001,13074,75,0,27
1,1001,13076,25,0,5
1,1001,13076,50,0,5
1,1001,13076,75,0,5
1,1001,14511,25,0,12
1,1001,14511,50,0,12
1,1001,14511,75,0,12
1,1001,14612,25,0,13
1,1001,14612,50,0,13
1,1001,14612,75,0,13
1,1001,14713,25,0,13
1,1001,14713,50,0,13
1,1001,14713,75,0,13
1,1001,16051,25,0,25
1,1001,16051,50,0,25
1,1001,16051,75,0,25
1,1001,16055,25,0,12
1,1001,16055,50,0,12
1,1001,16055,75,0,12
1,1001,16061,25,0,12
1,1001,16061,50,0,12
1,1001,16061,75,0,12
1,1001,16070,25,0,12
1,1001,16070,50,0,12
1,1001,16070,75,0,12
1,1002,1001,25,0,482
1,1002,1001,50,0,482
1,1002,1001,75,0,482
1,1002,1003,25,0,1490
1,1002,1003,50,0,1490
1,1002,1003,75,0,1490
1,1002,1004,25,0,2112
1,1002,1004,50,0,2112
1,1002,1004,75,0,2112
1,1002,1051,25,0,130
1,1002,1051,50,0,130
1,1002,1051,75,0,130
1,1002,1053,25,0,72
1,1002,1053,50,0,72
1,1002,1053,75,0,72
1,1002,1054,25,0,350
1,1002,1054,50,0,350
1,1002,1054,75,0,350
1,1002,1055,25,0,623
1,1002,1055,50,0,623
1,1002,1055,75,0,623
1,1002,1056,25,0,286
1,1002,1056,50,0,286
1,1002,1056,75,0,286
1,1002,1057,25,0,5638
1,1002,1057,50,0,5638
1,1002,1057,75,0,5638
1,1002,1058,25,0,10048
1,1002,1058,50,0,10048
1,1002,1058,75,0,10048
1,1002,1059,25,0,763
1,1002,1059,50,0,763
1,1002,1059,75,0,763
1,1002,1060,25,0,914
1,1002,1060,50,0,914
1,1002,1060,75,0,914
1,1002,1061,25,0,223
1,1002,1061,50,0,223
1,1002,1061,75,0,223
1,1002,1062,25,0,411
1,1002,1062,50,0,411
1,1002,1062,75,0,411
1,1002,2000,25,0,5689
1,1002,2000,50,0,5689
1,1002,2000,75,0,5689
1,1002,3103,25,0,39
1,1002,3103,50,0,39
1,1002,3103,75,0,39
1,1002,3151,25,0,30
1,1002,3151,50,0,30
1,1002,3151,75,0,30
1,1002,3159,25,0,41
1,1002,3159,50,0,41
1,1002,3159,75,0,41
1,1002,3241,25,0,203
1,1002,3241,50,0,203
1,1002,3241,75,0,203
1,1002,3254,25,0,26
1,1002,3254,50,0,26
1,1002,3254,75,0,26
1,1002,3351,25,0,37
1,1002,3351,50,0,37
1,1002,3351,75,0,37
1,1002,3352,25,0,23
1,1002,3352,50,0,23
1,1002,3352,75,0,23
1,1002,3353,25,0,70
1,1002,3353,50,0,70
1,1002,3353,75,0,70
1,1002,3355,25,0,37
1,1002,3355,50,0,37
1,1002,3355,75,0,37
1,1002,3357,25,0,25
1,1002,3357,50,0,25
1,1002,3357,75,0,25
1,1002,3358,25,0,12
1,1002,3358,50,0,12
1,1002,3358,75,0,12
1,1002,3359,25,0,76
1,1002,3359,50,0,76
1,1002,3359,75,0,76
1,1002,3361,25,0,23
1,1002,3361,50,0,23
1,1002,3361,75,0,23
1,1002,3403,25,0,59
1,1002,3403,50,0,59
1,1002,3403,75,0,59
1,1002,3404,25,0,10
1,1002,3404,50,0,10
1,1002,3404,75,0,10
1,1002,3405,25,0,53
1,1002,3405,50,0,53
1,1002,3405,75,0,53
1,1002,3454,25,0,27
1,1002,3454,50,0,27
1,1002,3454,75,0,27
1,1002,3455,25,0,14
1,1002,3455,50,0,14
1,1002,3455,75,0,14
1,1002,3460,25,0,17
1,1002,3460,50,0,17
1,1002,3460,75,0,17
1,1002,3461,25,0,15
1,1002,3461,50,0,15
1,1002,3461,75,0,15
1,1002,3462,25,0,39
1,1002,3462,50,0,39
1,1002,3462,75,0,39
1,1002,4011,25,0,336
1,1002,4011,50,0,336
1,1002,4011,75,0,336
1,1002,4012,25,0,11
1,1002,4012,50,0,11
1,1002,4012,75,0,11
1,1002,5111,25,0,66
1,1002,5111,50,0,66
1,1002,5111,75,0,66
1,1002,5112,25,0,102
1,1002,5112,50,0,102
1,1002,5112,75,0,102
1,1002,5113,25,0,47
1,1002,5113,50,0,47
1,1002,5113,75,0,47
1,1002,5114,25,0,14
1,1002,5114,50,0,14
1,1002,5114,75,0,14
1,1002,5116,25,0,13
1,1002,5116,50,0,13
1,1002,5116,75,0,13
1,1002,5117,25,0,13
1,1002,5117,50,0,13
1,1002,5117,75,0,13
1,1002,5119,25,0,25
1,1002,5119,50,0,25
1,1002,5119,75,0,25
1,1002,5158,25,0,18
1,1002,5158,50,0,18
1,1002,5158,75,0,18
1,1002,5314,25,0,22
1,1002,5314,50,0,22
1,1002,5314,75,0,22
1,1002,5315,25,0,151
1,1002,5315,50,0,151
1,1002,5315,75,0,151
1,1002,5316,25,0,13
1,1002,5316,50,0,13
1,1002,5316,75,0,13
1,1002,5366,25,0,13
1,1002,5366,50,0,13
1,1002,5366,75,0,13
1,1002,5374,25,0,13
1,1002,5374,50,0,13
1,1002,5374,75,0,13
1,1002,5382,25,0,16
1,1002,5382,50,0,16
1,1002,5382,75,0,16
1,1002,5512,25,0,13
1,1002,5512,50,0,13
1,1002,5512,75,0,13
1,1002,5515,25,0,55
1,1002,5515,50,0,55
1,1002,5515,75,0,55
1,1002,5554,25,0,13
1,1002,5554,50,0,13
1,1002,5554,75,0,13
1,1002,5562,25,0,26
1,1002,5562,50,0,26
1,1002,5562,75,0,26
1,1002,5566,25,0,27
1,1002,5566,50,0,27
1,1002,5566,75,0,27
1,1002,5711,25,0,42
1,1002,5711,50,0,42
1,1002,5711,75,0,42
1,1002,5754,25,0,17
1,1002,5754,50,0,17
1,1002,5754,75,0,17
1,1002,5758,25,0,8
1,1002,5758,50,0,8
1,1002,5758,75,0,8
1,1002,5762,25,0,12
1,1002,5762,50,0,12
1,1002,5762,75,0,12
1,1002,5770,25,0,15
1,1002,5770,50,0,15
1,1002,5770,75,0,15
1,1002,5911,25,0,52
1,1002,5911,50,0,52
1,1002,5911,75,0,52
1,1002,5913,25,0,42
1,1002,5913,50,0,42
1,1002,5913,75,0,42
1,1002,5914,25,0,13
1,1002,5914,50,0,13
1,1002,5914,75,0,13
1,1002,5954,25,0,26
1,1002,5954,50,0,26
1,1002,5954,75,0,26
1,1002,5978,25,0,13
1,1002,5978,50,0,13
1,1002,5978,75,0,13
1,1002,6412,25,0,99
1,1002,6412,50,0,99
1,1002,6412,75,0,99
1,1002,6432,25,0,13
1,1002,6432,50,0,13
1,1002,6432,75,0,13
1,1002,6434,25,0,18
1,1002,6434,50,0,18
1,1002,6434,75,0,18
1,1002,6435,25,0,14
1,1002,6435,50,0,14
1,1002,6435,75,0,14
1,1002,6531,25,0,13
1,1002,6531,50,0,13
1,1002,6531,75,0,13
1,1002,6533,25,0,13
1,1002,6533,50,0,13
1,1002,6533,75,0,13
1,1002,6632,25,0,13
1,1002,6632,50,0,13
1,1002,6632,75,0,13
1,1002,6636,25,0,138
1,1002,6636,50,0,138
1,1002,6636,75,0,138
1,1002,7111,25,0,18
1,1002,7111,50,0,18
